observation_date,risk_free_rate
1/1/2010,0.06
2/1/2010,0.06
3/1/2010,0.06
4/1/2010,0.06
5/1/2010,0.06
6/1/2010,0.06
7/1/2010,0.06
8/1/2010,0.06
9/1/2010,0.06
10/1/2010,0.06
11/1/2010,0.06
12/1/2010,0.06
1/1/2011,0.06
2/1/2011,0.06
3/1/2011,0.06
4/1/2011,0.06
5/1/2011,0.06
6/1/2011,0.06
7/1/2011,0.06
8/1/2011,0.06
9/1/2011,0.06
10/1/2011,0.06
11/1/2011,0.06
12/1/2011,0.06
1/1/2012,0.06
2/1/2012,0.095
3/1/2012,0.095
4/1/2012,0.09
5/1/2012,0.09
6/1/2012,0.09
7/1/2012,0.09
8/1/2012,0.09
9/1/2012,0.09
10/1/2012,0.09
11/1/2012,0.09
12/1/2012,0.09
1/1/2013,0.09
2/1/2013,0.0875
3/1/2013,0.085
4/1/2013,0.085
5/1/2013,0.0825
6/1/2013,0.0825
7/1/2013,0.1025
8/1/2013,0.1025
9/1/2013,0.095
10/1/2013,0.0875
11/1/2013,0.0875
12/1/2013,0.0875
1/1/2014,0.09
2/1/2014,0.09
3/1/2014,0.09
4/1/2014,0.09
5/1/2014,0.09
6/1/2014,0.09
7/1/2014,0.09
8/1/2014,0.09
9/1/2014,0.09
10/1/2014,0.09
11/1/2014,0.09
12/1/2014,0.09
1/1/2015,0.0875
2/1/2015,0.0875
3/1/2015,0.085
4/1/2015,0.085
5/1/2015,0.085
6/1/2015,0.0825
7/1/2015,0.0825
8/1/2015,0.0825
9/1/2015,0.0825
10/1/2015,0.0775
11/1/2015,0.0775
12/1/2015,0.0775
1/1/2016,0.0775
2/1/2016,0.0775
3/1/2016,0.0775
4/1/2016,0.07
5/1/2016,0.07
6/1/2016,0.07
7/1/2016,0.07
8/1/2016,0.07
9/1/2016,0.07
10/1/2016,0.0675
11/1/2016,0.0675
12/1/2016,0.0675
1/1/2017,0.0675
2/1/2017,0.0675
3/1/2017,0.0675
4/1/2017,0.065
5/1/2017,0.065
6/1/2017,0.065
7/1/2017,0.065
8/1/2017,0.0625
9/1/2017,0.0625
10/1/2017,0.0625
11/1/2017,0.0625
12/1/2017,0.0625
1/1/2018,0.0625
2/1/2018,0.0625
3/1/2018,0.0625
4/1/2018,0.0625
5/1/2018,0.0625
6/1/2018,0.065
7/1/2018,0.065
8/1/2018,0.0675
9/1/2018,0.0675
10/1/2018,0.0675
11/1/2018,0.0675
12/1/2018,0.0675
1/1/2019,0.0675
2/1/2019,0.065
3/1/2019,0.065
4/1/2019,0.0625
5/1/2019,0.0625
6/1/2019,0.06
7/1/2019,0.06
8/1/2019,0.0565
9/1/2019,0.0565
10/1/2019,0.054
11/1/2019,0.054
12/1/2019,0.054
1/1/2020,0.054
2/1/2020,0.054
3/1/2020,0.0465
4/1/2020,0.0465
5/1/2020,0.0425
6/1/2020,0.0425
7/1/2020,0.0425
8/1/2020,0.0425
9/1/2020,0.0425
10/1/2020,0.0425
11/1/2020,0.0425
12/1/2020,0.0425
